Year,Cause of death,unter 1 Jahr,1 bis unter 15 Jahre,15 bis unter 20 Jahre,20 bis unter 25 Jahre,25 bis unter 30 Jahre,30 bis unter 35 Jahre,35 bis unter 40 Jahre,40 bis unter 45 Jahre,45 bis unter 50 Jahre,50 bis unter 55 Jahre,55 bis unter 60 Jahre,60 bis unter 65 Jahre,65 bis unter 70 Jahre,70 bis unter 75 Jahre,75 bis unter 80 Jahre,80 bis unter 85 Jahre,85 Jahre und mehr,Total
2000,Certain infectious and parasitic diseases,48,73,25,32,44,130,266,277,303,313,491,771,981,1436,1701,1100,2138,10129
2000,Tuberculosis and its sequelae,0,1,1,3,2,5,8,16,24,28,31,47,63,84,126,58,110,607
2000,Meningococcal infection,11,23,8,1,0,0,2,2,0,1,2,3,3,3,6,0,0,65
2000,Viral hepatitis,0,1,0,6,7,14,29,35,55,44,75,88,133,243,217,116,89,1152
2000,HIV disease,3,0,1,2,19,69,133,111,70,50,45,44,19,8,5,0,1,580
2000,Neoplasms,28,343,150,202,360,863,1786,3238,5861,8810,15845,25227,27517,33802,35120,22434,34833,216419
2000,Malignant neoplasms,16,324,141,191,352,835,1755,3192,5793,8704,15664,24876,27069,33095,34117,21560,33054,210738
2000,"Neoplasms of the lip, oral cavity, and pharynx",0,2,1,1,4,13,54,186,398,529,797,805,628,474,312,166,275,4645
2000,Neoplasms of the esophagus,0,0,0,1,2,4,34,81,204,337,548,786,621,551,407,231,318,4125
2000,Neoplasms of the stomach,0,0,1,5,16,52,129,164,302,432,729,1333,1553,2035,2215,1487,2679,13132
2000,Neoplasms of the colon,0,0,4,3,12,37,75,140,264,466,1023,1828,2317,3125,3696,2619,4625,20234
2000,"Neoplasms of the rectum, anus, and rectosigmoid junction",0,0,0,0,6,13,49,71,168,301,638,1069,1072,1359,1379,1008,1620,8753
2000,"Neoplasms of the liver, biliary tract, and pancreas",1,5,2,5,8,40,80,197,432,722,1448,2604,2905,3716,3974,2390,3321,21850
2000,Neoplasms of the liver and intrahepatic bile ducts,1,5,2,3,6,11,24,62,116,190,349,701,840,1025,968,552,634,5489
2000,Neoplasms of the pancreas,0,0,0,2,1,18,40,109,275,449,902,1522,1526,2007,2123,1331,1811,12116
2000,"Neoplasms of the larynx, trachea, bronchi, and lung",0,3,0,4,15,42,193,611,1307,2186,4079,6260,6922,7529,5980,2811,2611,40553
2000,Neoplasms of the bronchi and lung,0,3,0,4,15,38,180,573,1211,2053,3851,6007,6659,7285,5815,2741,2520,38955
2000,Melanoma and other malignant neoplasms of the skin,0,1,6,7,23,32,69,87,132,139,207,298,300,340,311,212,442,2606
2000,Malignant melanoma of the skin,0,1,5,7,22,32,65,83,124,125,191,271,274,291,269,162,256,2178
2000,Neoplasms of the breast,0,0,0,3,9,124,303,518,860,1119,1726,2179,1869,2147,2491,1655,3032,18035
2000,Neoplasms of the genital and urinary organs,0,11,3,15,46,107,252,412,637,889,1746,3311,4066,5591,6546,4666,7378,35676
2000,Neoplasms of the cervix uteri,0,0,0,2,10,34,106,145,167,128,152,186,173,190,226,159,204,1882
2000,"Neoplasms of the corpus uteri and uterus, part unspecified",0,1,0,0,0,3,11,29,34,65,129,258,290,403,519,350,628,2720
2000,Neoplasms of the ovary,0,2,2,7,9,21,51,100,169,235,486,702,733,876,1103,654,856,6006
2000,Neoplasms of the prostate,0,0,0,0,0,1,3,4,25,97,286,810,1179,1832,2236,1774,2860,11107
2000,"Neoplasms of the kidney, except renal pelvis",0,5,0,1,3,8,23,64,124,179,396,746,786,885,782,499,653,5154
